On time(sec),Flight time(sec),Orientation X,Orientation Y,Orientation Z,Acceleration X,Acceleration Y,Acceleration Z,TVC X,TVC Y,Setpoint X,Setpoint Y, CC state,Temp(C),Altitude(m),Pyro 1,Pyro 2,Pyro 3,Pyro 4,Abort state,Battery voltage,System state
6.59,0,0,-0.03,0,-2.43,-0.4,9.43,0,0,0,0,0,15.36,0,0,0,0,0,0,11.9,1
6.59,0,0,-0.03,0,-2.43,-0.4,9.43,0,0,0,0,0,15.36,0,0,0,0,0,0,11.9,1
7.6,0,1.74,-10.69,0,-2.47,-0.37,9.42,0,0,1.79,-10.48,0,15.38,0,0,0,0,0,0,11.94,1
8.6,0,2.4,-14.55,0,-2.47,-0.4,9.46,0,0,2.55,-14.09,0,15.41,0,0,0,0,0,0,11.83,1
9.6,0,2.53,-14.54,0,-2.38,-0.5,9.48,0,0,2.69,-14.08,0,15.43,0,0,0,0,0,0,11.76,1
10.61,0,2.36,-14.56,0,-2.57,-0.19,9.45,0,0,2.52,-14.1,0,15.45,0,0,0,0,0,0,11.83,1
11.62,0,2.26,-14.64,0,-2.41,-0.42,9.46,0,0,2.41,-14.16,0,15.48,0,0,0,0,0,0,11.83,1
12.62,0,2.27,-14.59,0,-2.46,-0.46,9.43,0,0,2.41,-14.12,0,15.49,0,0,0,0,0,0,11.72,1
13.63,0,2.33,-14.59,0,-2.48,-0.24,9.44,0,0,2.48,-14.12,0,15.52,0,0,0,0,0,0,11.87,1
14.63,0,2.26,-14.6,0,-2.45,-0.37,9.44,0,0,2.4,-14.13,0,15.54,0,0,0,0,0,0,11.83,1
15.63,0,2.26,-14.59,0,-2.43,-0.47,9.44,0,0,2.4,-14.12,0,15.56,0,0,0,0,0,0,11.98,1
16.63,0,2.32,-14.6,0,-2.46,-0.3,9.43,0,0,2.47,-14.13,0,15.58,0,0,0,0,0,0,11.87,1
17.64,0,2.27,-14.6,0,-2.44,-0.41,9.44,0,0,2.41,-14.13,0,15.6,0,0,0,0,0,0,11.98,1
18.64,0,2.24,-14.61,0,-2.46,-0.52,9.45,0,0,2.38,-14.13,0,15.62,0,0,0,0,0,0,11.94,1
19.64,0,2.24,-14.61,0,-2.42,-0.28,9.47,0,0,2.38,-14.14,0,15.64,0,0,0,0,0,0,11.98,1
20.64,0,2.31,-14.58,0,-2.44,-0.27,9.41,0,0,2.46,-14.11,0,15.65,0,0,0,0,0,0,11.68,1
21.65,0,2.32,-14.63,0,-2.52,-0.56,9.44,0,0,2.46,-14.16,0,15.68,0,0,0,0,0,0,11.72,1
22.65,0,2.23,-14.58,0,-2.48,-0.24,9.47,0,0,2.38,-14.11,0,15.69,0,0,0,0,0,0,11.79,1
23.65,0,2.65,-14.69,0,-2.62,-0.3,9.37,0,0,2.82,-14.21,0,15.71,0,0,0,0,0,0,11.61,1
24.66,0,1.61,-14.35,0,-2.57,-0.43,9.49,0,0,1.71,-13.9,0,15.72,0,0,0,0,0,0,11.98,1
25.66,0,2.01,-14.2,0,-2.21,-0.33,9.49,0,0,2.13,-13.77,0,15.74,0,0,0,0,0,0,12.01,1
26.66,0,1.92,-14.16,0,-2.41,-0.27,9.47,0,0,2.03,-13.73,0,15.75,0,0,0,0,0,0,11.61,1
